Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Caris LeVert,27,"$17,500,000","$18,796,296",,,,,1st Round pick,"$36,296,296",Cavaliers
Lauri Markkanen,25,"$15,690,909","$16,475,454","$17,259,999","$18,044,544",,,Sign and Trade,"$55,426,362",Cavaliers
Cedi Osman,27,"$8,133,334","$7,426,088","$6,718,842",,,,MLE,"$15,559,422",Cavaliers
Evan Mobley,21,"$8,075,160","$8,478,720","$8,882,760","$11,227,809",,,1st Round Pick,"$16,553,880",Cavaliers
Darius Garland,22,"$7,040,880","$8,920,795",,,,,1st Round Pick,"$15,961,675",Cavaliers
Isaac Okoro,21,"$6,720,720","$7,040,880","$8,920,795",,,,1st Round Pick,"$13,761,600",Cavaliers
Collin Sexton,23,"$6,349,671",,,,,,1st Round Pick,"$6,349,671",Cavaliers
Ed Davis,33,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Cavaliers
Rajon Rondo,36,"$2,641,691",,,,,,Minimum Salary,"$2,641,691",Cavaliers
Dylan Windler,25,"$2,239,200","$4,037,278",,,,,1st Round Pick,"$6,276,478",Cavaliers
Dean Wade,25,"$1,782,621","$1,930,681",,,,,MLE,"$3,713,302",Cavaliers
Lamar Stevens,24,"$1,517,981","$1,782,621","$1,930,681",,,,MLE,"$1,517,981",Cavaliers
RJ Nembhard Jr.,23,"$58,493",,,,,,,"$58,493",Cavaliers
